folder,name,title,original_name,src,origin_folders,dupes_removed,md5
Home & Devices,Pair Sound 2 Shorter Version.wav,Pair Sound 2 Shorter Version,PairSound2_ShorterVersion.wav,"23G83__iPhone18,2/Applications/CompanionSetup.app/PairSound2_ShorterVersion.wav","23G83__iPhone18,2/Applications/CompanionSetup.app",0,5b8e7ac099e05270b17211ec6460a519
Audio & Headphones,300 Hz Stimulus 4 5d BFS 16bits 10sec 48k Hz Mono.wav,300 Hz Stimulus 4 5d BFS 16bits 10sec 48k Hz Mono,300HzStimulus-4-5dBFS_16bits_10sec_48kHz_Mono.wav,"23G83__iPhone18,2/Applications/DiagnosticsService.app/PlugIns/Diagnostic-8290-EFD.appex/300HzStimulus-4-5dBFS_16bits_10sec_48kHz_Mono.wav","23G83__iPhone18,2/Applications/DiagnosticsService.app/PlugIns/Diagnostic-8290-EFD.appex",0,902591c54e1038649a7834d9a8d181d6
Audio & Headphones,Chirp 00050 20000 Hz 05s 06d Bdown.wav,Chirp 00050 20000 Hz 05s 06d Bdown,Chirp_00050-20000Hz_05s_06dBdown.wav,"23G83__iPhone18,2/Applications/DiagnosticsService.app/PlugIns/Diagnostic-8290-EFD.appex/Chirp_00050-20000Hz_05s_06dBdown.wav","23G83__iPhone18,2/Applications/DiagnosticsService.app/PlugIns/Diagnostic-8290-EFD.appex",0,c60ac0bbdfd3b7d6675d76aedf758a65
System Frameworks/Feedback Assistant iOS,Whoosh.caf,Whoosh,whoosh.caf,"23G83__iPhone18,2/Applications/Feedback Assistant iOS.app/whoosh.caf","23G83__iPhone18,2/Applications/Feedback Assistant iOS.app | 23G83__iPhone18,2/System/Library/Audio/UISounds",1,7aac49046e5146877c7061de7758ed76
Safety & Emergency,Silence 100ms.wav,Silence 100ms,silence100ms.wav,"23G83__iPhone18,2/Applications/SafetyMonitorApp.app/silence100ms.wav","23G83__iPhone18,2/Applications/SafetyMonitorApp.app",0,12800247256e64a7bbe6341269a4edd5
Siri & Voices/Siri Interface,Activation Error Tone.wav,Activation Error Tone,ActivationErrorTone.wav,"23G83__iPhone18,2/Applications/SystemVoiceAssistant.app/ActivationErrorTone.wav","23G83__iPhone18,2/Applications/SystemVoiceAssistant.app",0,8d331624d1f69f5e0e49902e3e837803
Camera & Photos,Intelligent Shutter Sound.caf,Intelligent Shutter Sound,IntelligentShutterSound.caf,"23G83__iPhone18,2/Applications/Tamale.app/IntelligentShutterSound.caf","23G83__iPhone18,2/Applications/Tamale.app",0,a96bab7b4e02859c0519764592712422
Haptics/Generic,Name Drop Connected Primary Device.caf,Name Drop Connected Primary Device,NameDropConnectedPrimaryDevice.caf,"23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources/NameDropConnectedPrimaryDevice.caf","23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources",1,e3b7d918bf77b97cc4e71cf4065d18a2
Haptics/Generic,Name Drop Hinting Primary Device.caf,Name Drop Hinting Primary Device,NameDropHintingPrimaryDevice.caf,"23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources/NameDropHintingPrimaryDevice.caf","23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources",0,ad5b8fc1e5bd4aac09794779b6221ba6
Haptics/Generic,Name Drop Hinting Secondary Device.caf,Name Drop Hinting Secondary Device,NameDropHintingSecondaryDevice.caf,"23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources/NameDropHintingSecondaryDevice.caf","23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources",0,20e21a1cc57173ae0ef3c974a081f004
Haptics/Generic,Screen Locked.caf,Screen Locked,ScreenLocked.caf,"23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources/ScreenLocked.caf","23G83__iPhone18,2/Library/Audio/Tunings/Generic/Haptics/AudioResources",0,c884af65df9957326665010a13808aa5
