file,title,category,status,introduced_in,last_seen_in,releases,format,duration_sec,bytes,original_filename,ipsw_dir,rerecorded,md5
Current/Accessibility/Live Speech/BEEP.caf,BEEP,Accessibility/Live Speech,present,iOS 17.0,iOS 26.6.1,iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,caf,0.34,53099,BEEP.caf,"23G83__iPhone18,2/System/Library/AccessibilityBundles/LiveSpeechUIService.axuiservice",,4aeedb7b1011e634af3708874561215d
Current/Accessibility/Live Speech/Call Recording Countdown.caf,Call Recording Countdown,Accessibility/Live Speech,present,iOS 18.1,iOS 26.6.1,iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,caf,3.456,461315,call_recording_countdown.caf,"23G83__iPhone18,2/System/Library/AccessibilityBundles/LiveSpeechUIService.axuiservice",,7768c07ef04ac5803b84f989e3b41726
Current/Accessibility/Magnifier/AX Distance High.aiff,AX Distance High,Accessibility/Magnifier,present,iOS 14.0,iOS 26.6.1,iOS 14.0; iOS 14.1; iOS 14.2; iOS 14.3; iOS 14.4; iOS 14.5; iOS 14.6; iOS 14.7; iOS 14.8; iOS 15.0; iOS 15.1; iOS 15.2; iOS 15.3; iOS 15.4; iOS 15.5; iOS 15.6; iOS 15.7; iOS 15.8; iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.093,24708,ax_distance_high.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,bd865155302137919449b571ce924062
Current/Accessibility/Magnifier/AX Distance Low.aiff,AX Distance Low,Accessibility/Magnifier,present,iOS 14.0,iOS 26.6.1,iOS 14.0; iOS 14.1; iOS 14.2; iOS 14.3; iOS 14.4; iOS 14.5; iOS 14.6; iOS 14.7; iOS 14.8; iOS 15.0; iOS 15.1; iOS 15.2; iOS 15.3; iOS 15.4; iOS 15.5; iOS 15.6; iOS 15.7; iOS 15.8; iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.101,26676,ax_distance_low.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,4d99caca5af49aa5b5f97f867a8bbe7b
Current/Accessibility/Magnifier/AX Distance Mid High.aiff,AX Distance Mid High,Accessibility/Magnifier,present,iOS 14.0,iOS 26.6.1,iOS 14.0; iOS 14.1; iOS 14.2; iOS 14.3; iOS 14.4; iOS 14.5; iOS 14.6; iOS 14.7; iOS 14.8; iOS 15.0; iOS 15.1; iOS 15.2; iOS 15.3; iOS 15.4; iOS 15.5; iOS 15.6; iOS 15.7; iOS 15.8; iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.093,24732,ax_distance_midHigh.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,f5a2f3c0825d77a61f6e5a7517e96a5a
Current/Accessibility/Magnifier/AX Distance Mid Low.aiff,AX Distance Mid Low,Accessibility/Magnifier,present,iOS 14.0,iOS 26.6.1,iOS 14.0; iOS 14.1; iOS 14.2; iOS 14.3; iOS 14.4; iOS 14.5; iOS 14.6; iOS 14.7; iOS 14.8; iOS 15.0; iOS 15.1; iOS 15.2; iOS 15.3; iOS 15.4; iOS 15.5; iOS 15.6; iOS 15.7; iOS 15.8; iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.095,25188,ax_distance_midLow.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,130b829267fd3299de117f7fe0f3522d
Current/Accessibility/Magnifier/Detection Paused.aiff,Detection Paused,Accessibility/Magnifier,present,iOS 13.0,iOS 26.6.1,iOS 13.0; iOS 13.1; iOS 13.2; iOS 13.3; iOS 13.4; iOS 13.4.1; iOS 13.5; iOS 13.6; iOS 13.7; iOS 14.0; iOS 14.1; iOS 14.2; iOS 14.3; iOS 14.4; iOS 14.5; iOS 14.6; iOS 14.7; iOS 14.8; iOS 15.0; iOS 15.1; iOS 15.2; iOS 15.3; iOS 15.4; iOS 15.5; iOS 15.6; iOS 15.7; iOS 15.8; iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.277,28528,detection_paused.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,0f6366f6af87da5c7be6345cfa7e70a8
Current/Accessibility/Magnifier/Detection Resumed.aiff,Detection Resumed,Accessibility/Magnifier,present,iOS 13.0,iOS 26.6.1,iOS 13.0; iOS 13.1; iOS 13.2; iOS 13.3; iOS 13.4; iOS 13.4.1; iOS 13.5; iOS 13.6; iOS 13.7; iOS 14.0; iOS 14.1; iOS 14.2; iOS 14.3; iOS 14.4; iOS 14.5; iOS 14.6; iOS 14.7; iOS 14.8; iOS 15.0; iOS 15.1; iOS 15.2; iOS 15.3; iOS 15.4; iOS 15.5; iOS 15.6; iOS 15.7; iOS 15.8; iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.28,28788,detection_resumed.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,0898de2b5f53fb22106d0fc50d9a3c20
Current/Accessibility/Magnifier/Door Distance High.aiff,Door Distance High,Accessibility/Magnifier,present,iOS 16.0,iOS 26.6.1,iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.096,25516,door_distance_high.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,d2d36102556ddd15da0aeb8fd146b653
Current/Accessibility/Magnifier/Door Distance Low.aiff,Door Distance Low,Accessibility/Magnifier,present,iOS 16.0,iOS 26.6.1,iOS 16.0; iOS 16.0.1; iOS 16.1; iOS 16.2; iOS 16.3; iOS 16.4; iOS 16.5; iOS 16.6; iOS 16.7; iOS 17.0; iOS 17.0.2; iOS 17.1; iOS 17.2; iOS 17.3; iOS 17.4; iOS 17.5; iOS 17.6; iOS 17.7; iOS 18.0; iOS 18.1; iOS 18.2; iOS 18.3; iOS 18.3.1; iOS 18.3.2; iOS 18.4; iOS 18.5; iOS 18.6; iOS 18.7; iOS 26.0 (23A341); iOS 26.0 (23A345); iOS 26.1; iOS 26.2; iOS 26.3; iOS 26.3.1; iOS 26.4; iOS 26.5; iOS 26.6.1,aiff,0.158,45502,door_distance_low.aiff,"23G83__iPhone18,2/System/Library/PrivateFrameworks/MagnifierSupport.framework",,a90830552f65b7e024028d4018a19e3f
